group,mhc_class,Kd_M,pti_pae_raw
noncognate,I,,25.145410537719727
noncognate,I,,25.145410537719727
noncognate,I,,25.145410537719727
noncognate,I,,25.145410537719727
noncognate,I,,25.145410537719727
noncognate,I,,25.145410537719727
noncognate,I,,17.227100372314453
noncognate,I,,17.227100372314453
noncognate,I,,7.810577869415283
noncognate,I,,7.810577869415283
noncognate,I,,2.9973249435424805
noncognate,I,,2.9973249435424805
noncognate,I,,26.105554580688477
noncognate,I,,5.930726528167725
noncognate,I,,5.930726528167725
noncognate,I,,6.209187984466553
noncognate,I,,6.209187984466553
noncognate,I,,11.143999099731445
noncognate,I,,11.143999099731445
noncognate,I,,27.753889083862305
noncognate,I,,27.753889083862305
noncognate,I,,20.94245719909668
noncognate,I,,20.94245719909668
noncognate,I,,20.94245719909668
noncognate,I,,20.94245719909668
noncognate,I,,20.94245719909668
noncognate,I,,20.94245719909668
noncognate,I,,20.94245719909668
noncognate,I,,25.008975982666016
noncognate,I,,19.758758544921875
noncognate,I,,19.758758544921875
noncognate,I,,14.622963905334473
noncognate,I,,14.622963905334473
noncognate,I,,4.402222633361816
noncognate,I,,4.402222633361816
noncognate,I,,2.80908203125
noncognate,I,,2.80908203125
noncognate,I,,3.335376262664795
noncognate,I,,21.303016662597656
noncognate,I,,22.44011878967285
noncognate,I,,22.44011878967285
noncognate,I,,3.2352001667022705
noncognate,I,,3.2352001667022705
noncognate,I,,5.459333419799805
noncognate,I,,5.459333419799805
noncognate,I,,7.6862006187438965
noncognate,I,,7.6862006187438965
noncognate,I,,2.8683111667633057
noncognate,I,,2.8683111667633057
noncognate,I,,3.808290481567383
noncognate,II,,16.205615997314453
noncognate,I,,31.0
noncognate,I,,16.370258331298828
noncognate,I,,4.2658586502075195
noncognate,I,,14.743499755859375
noncognate,I,,14.743499755859375
noncognate,I,,14.743499755859375
noncognate,I,,14.743499755859375
noncognate,I,,14.743499755859375
noncognate,I,,14.743499755859375
noncognate,I,,14.743499755859375
noncognate,I,,5.044914722442627
noncognate,I,,5.044914722442627
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,16.587005615234375
noncognate,I,,4.908190727233887
noncognate,I,,4.908190727233887
noncognate,I,,17.509653091430664
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,27.51573944091797
noncognate,I,,22.354949951171875
noncognate,I,,22.354949951171875
noncognate,I,,7.893831729888916
noncognate,I,,25.908796310424805
noncognate,I,,4.184556007385254
noncognate,I,,14.782776832580566
noncognate,I,,14.782776832580566
noncognate,I,,13.23480224609375
noncognate,I,,3.5163376331329346
noncognate,I,,3.5163376331329346
noncognate,I,,4.180256366729736
noncognate,I,,21.471904754638672
noncognate,I,,21.471904754638672
noncognate,I,,4.157874584197998
noncognate,I,,4.157874584197998
noncognate,I,,21.253612518310547
noncognate,I,,25.667407989501953
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,24.07777976989746
noncognate,I,,3.835689067840576
noncognate,I,,20.68486785888672
noncognate,I,,20.68486785888672
noncognate,I,,26.309999465942383
noncognate,I,,26.309999465942383
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,26.247556686401367
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.047592163085938
noncognate,I,,21.219032287597656
noncognate,I,,18.340192794799805
noncognate,I,,19.713502883911133
noncognate,I,,19.713502883911133
noncognate,I,,23.19519805908203
noncognate,I,,15.78487777709961
noncognate,I,,15.78487777709961
noncognate,I,,15.56756591796875
noncognate,I,,20.84182357788086
noncognate,I,,20.84182357788086
noncognate,I,,12.990811347961426
noncognate,I,,12.990811347961426
noncognate,I,,23.199535369873047
noncognate,I,,2.7720370292663574
noncognate,I,,2.7720370292663574
